TransactionID,CustomerID,TransactionDateID,TransactionTypeID,Amount,ProductCategoryID,ProductSubcategoryID,BranchCityID,ChannelID,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScoreID,CustomerScore,MonthlyIncome,CustomerSegmentID,RecommendedOfferID,CurrencyID
1,8270,759,0,6980.185223,0,1,5,1,0,0,0,539,839,5767.68,2,3,1
2,1860,40,1,10786.37185,3,1,4,1,0,0,0,383,683,2441,1,1,1
3,6390,431,4,3982.761111,2,2,3,0,0,92.46,0,200,500,9957.08,0,6,1
4,6191,184,5,12408.64414,3,3,5,0,0,0,0,92,392,1545.8,1,1,1
5,6734,766,2,1868.260998,0,2,4,2,0,0,0,68,368,5825.27,2,3,0
6,7265,272,0,3165.15063,4,2,4,1,0,0,0,493,793,6234.59,2,3,1
7,1466,41,2,4771.087539,4,4,5,2,0,0,0,141,441,6436.8,2,3,1
8,5426,378,1,4484.855719,0,2,4,1,0,0,0,119,419,1576.34,1,1,1
9,6578,195,1,9929.003111,2,1,4,3,0,42.66,0,387,687,5407.32,2,5,1
10,9322,409,4,3669.693233,4,0,1,1,0,0,0,317,617,7940.49,0,6,1
11,2685,3,1,10750.80782,2,4,1,1,0,33.97,0,543,843,9910.87,0,6,1
12,1769,326,0,9476.064541,1,1,6,0,40,0,0,83,383,6000.41,2,2,1
13,7949,296,3,347.078478,3,0,3,3,0,0,26.89,184,484,5906.51,2,3,1
14,3433,61,3,282.1119571,1,0,5,2,23.5,0,142.66,362,662,3858.5,2,2,1
15,6311,149,1,2967.03972,4,4,1,1,0,0,0,430,730,1012.55,1,4,1
16,6051,109,0,4760.063919,4,2,6,2,0,0,0,32,332,6165.08,2,3,0
17,7420,646,3,6036.819687,2,4,2,2,0,14.51,101.65,527,827,6732.4,2,5,1
18,2184,354,2,4189.673892,4,4,2,1,0,0,0,83,383,8253.9,0,6,1
19,5555,855,0,9537.538641,2,4,4,3,0,26.68,0,411,711,4055.12,2,5,1
20,4385,124,0,3889.236162,0,0,1,0,0,0,0,335,635,7191.14,0,6,1
21,7396,381,1,2562.163609,4,2,6,0,0,0,0,448,748,8547.74,0,6,1
22,9666,686,2,3404.541799,0,3,6,1,0,0,0,306,606,5573.25,2,3,1
23,3558,658,2,1972.456601,0,0,3,2,0,0,0,528,828,2763.09,1,1,1
24,8849,112,3,12796.84636,3,4,1,0,0,0,170.94,165,465,8635.25,0,0,0
25,3047,789,4,2611.927729,2,0,4,0,0,48.66,0,179,479,7386.01,0,6,1
26,3747,591,2,7072.808735,0,1,4,3,0,0,0,207,507,9394.88,0,6,1
27,1189,6,3,5369.450372,3,2,3,0,0,0,65.11,307,607,6298.02,2,3,1
28,3734,370,4,137.0270871,4,3,0,0,0,0,0,339,639,6773.86,2,3,1
29,4005,731,0,844.0301918,4,2,3,3,0,0,0,289,589,4948.54,2,3,1
30,5658,678,3,6924.048107,0,1,2,1,0,0,83.44,211,511,2730.56,1,1,1
31,2899,657,3,645.0363944,4,3,3,2,0,0,163.57,413,713,3398.28,2,3,1
32,8734,240,1,9176.159124,2,0,2,3,0,42.32,0,528,828,6072.51,2,5,1
33,2267,565,0,915.9630528,4,3,0,2,0,0,0,449,749,6377.72,2,3,1
34,2528,408,0,4885.108633,1,4,2,0,10.31,0,0,287,587,5057.74,2,2,0
35,4556,691,5,1027.551017,4,1,2,3,0,0,0,245,545,7426.07,0,6,1
36,4890,75,4,2603.190122,0,4,2,1,0,0,0,273,573,6668.18,2,3,1
37,9838,151,3,1872.87385,3,1,2,2,0,0,97.86,137,437,3594.46,2,3,1
38,6393,251,2,6909.059841,2,0,5,0,0,75.77,0,87,387,1489.97,1,1,1
39,9792,233,2,4550.103982,2,0,1,3,0,96.66,0,533,833,9249.61,0,6,0
40,9433,696,5,5455.139748,3,4,0,1,0,0,0,382,682,6915.34,2,3,1
41,8513,357,4,490.8950552,2,1,4,3,0,58.58,0,275,575,4473.92,2,5,1
42,3612,22,1,1068.250561,0,1,3,3,0,0,0,288,588,8516.75,0,6,1
43,8041,515,4,5519.5363,0,0,2,2,0,0,0,389,689,5185.09,2,3,1
44,7235,851,2,4366.090506,3,2,7,2,0,0,0,305,605,8839.3,0,0,1
45,6486,577,2,3451.563165,0,4,3,0,0,0,0,535,835,5847.99,2,3,1
46,8099,401,1,7466.107323,1,4,5,0,19.86,0,0,524,824,7713.93,0,0,1
